idx,GroupCount,Percent,actual_story
4,3,27.2727272727273,story_9/old_approach_avoid
2,16,27.1186440677966,story_20/approach_avoid
2,32,26.890756302521,story_19/approach_avoid
2,4,26.6666666666667,story_15/social
9,4,26.6666666666667,story_15/social
15,4,26.6666666666667,story_15/social
2,17,26.5625,story_7/social
9,18,26.4705882352941,story_20/probability
2,18,26.4705882352941,story_9/probability
2,31,26.0504201680672,story_5/approach_avoid
2,16,25.8064516129032,story_23/approach_avoid
9,12,25.531914893617,story_15/approach_avoid
2,27,25.2336448598131,story_18/approach_avoid
15,3,25,story_1/social
7,22,25,story_1/super
2,2,25,story_10/probability
1,1,25,story_10/super
2,1,25,story_10/super
14,2,25,story_16/moral
2,2,25,story_16/social
3,2,25,story_16/social
9,2,25,story_16/social
15,2,25,story_16/social
2,4,25,story_18/probability
2,17,25,story_2/social
2,14,25,story_21/approach_avoid
2,4,25,story_23/moral
9,8,25,story_23/probability
4,4,25,story_27/moral
2,13,25,story_29/moral
4,9,25,story_4/probability
2,8,25,story_5/moral
4,18,25,story_5/social
1,3,25,story_6/probability
4,3,25,story_6/probability
9,21,25,story_6/super
2,9,25,story_8/probability
7,10,23.8095238095238,story_24/moral
4,17,23.6111111111111,story_3/probability
2,16,23.5294117647059,story_20/social
2,15,23.4375,story_2/probability
2,15,23.4375,story_8/approach_avoid
4,13,23.2142857142857,story_26/moral
9,11,22.9166666666667,story_12/moral
4,9,22.5,story_7/probability
2,8,22.2222222222222,story_12/social
4,2,22.2222222222222,story_16/old_approach_avoid
4,8,22.2222222222222,story_17/probability
2,8,22.2222222222222,story_22/probability
4,8,22.2222222222222,story_8/probability
2,7,21.875,story_13/moral
2,7,21.875,story_16/probability
4,14,21.875,story_2/probability
2,21,21.875,story_3/approach_avoid
3,7,21.875,story_4/approach_avoid
2,7,21.875,story_6/social
4,7,21.875,story_6/social
4,14,21.875,story_8/approach_avoid
1,3,21.4285714285714,story_10/old_approach_avoid
2,6,21.4285714285714,story_2/moral
7,6,21.4285714285714,story_2/moral
9,6,21.4285714285714,story_2/moral
4,9,21.4285714285714,story_24/moral
2,12,21.4285714285714,story_26/moral
7,18,21.4285714285714,story_4/super
2,6,21.4285714285714,story_6/moral
9,6,21.4285714285714,story_6/moral
2,26,20.9677419354839,story_16/approach_avoid
4,10,20.8333333333333,story_12/moral
4,11,20.7547169811321,story_18/social
2,9,20.4545454545455,story_15/moral
4,9,20.4545454545455,story_25/moral
4,3,20,story_12/old_approach_avoid
1,1,20,story_14/old_approach_avoid
4,1,20,story_21/old_approach_avoid
4,4,20,story_21/social
7,4,20,story_21/social
9,4,20,story_21/social
15,2,20,story_22/old_approach_avoid
2,1,20,story_23/old_approach_avoid
4,1,20,story_23/old_approach_avoid
9,1,20,story_23/old_approach_avoid
2,8,20,story_24/probability
4,4,20,story_9/social
7,4,20,story_9/social
2,18,19.5652173913043,story_2/super
4,7,19.4444444444444,story_11/social
